timestamp,is_random_set,training records,validation records,spatial_dropout_prop,recurr_units,recurrent_regularizer_l1_factor,recurrent_regularizer_l2_factor,recurrent_dropout_prop,conv_units,kernel_size_1,kernel_size_2,dense_units_1,dense_units_2,dropout_prop,lr,lr_decay_rate,lr_decay_step,batch_size,epochs,best_training_step,best_val_rmse,val_loss,val_rmse__last_10_avg,val_loss__last_10_avg,train_rmse__last_10_avg,train_loss__last_10_avg,local_path
20200614-162330,1,147061,25952,0.02,30,0.00804,0.0376,0.00495,28,4,3,37,27,0.45,0.017,0.17,42,512,120,27,0.580230236,0.615095973,0.617093,0.685656,0.49938,0.420326,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200614-162330
20200614-235712,1,147061,25952,0.24,80,0.02792,0.01779,0.00399,13,6,3,52,11,0.21,0.0097,0.22,49,512,120,12,0.555471241,0.625277221,0.57993,1.090638,0.476521,0.877007,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200614-235712
20200618-145035,1,147061,25952,0.04,58,0.0212,0.0244,0.00119,20,3,4,39,18,0.46,0.0049,0.2,43,512,120,14,0.579253614,0.63396883,0.61937,0.750427,0.493099,0.482968,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200618-145035
20200621-131103,1,147061,25952,0.41,126,0.00721,0.01624,0.00095,14,3,4,61,59,0.33,0.0266,0.08,25,512,120,49,0.569855392,2.01160131,0.581683,0.552897,0.530552,0.456848,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200621-131103
20200621-231347,1,147061,25952,0.31,108,0.00771,0.00938,4.00E-05,20,3,3,31,11,0.26,0.0108,0.02,27,512,120,13,0.551585674,6.424330903,0.56235,0.542699,0.53386,0.460607,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200621-231347
20200622-082933,1,147061,25952,0.15,94,0.00697,0.02221,5.00E-05,28,3,5,36,19,0.22,0.0219,0.06,39,512,120,65,0.566107273,1.101888884,0.57666,0.633668,0.421025,0.310205,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200622-082933
20200622-173128,1,147061,25952,0.17,120,0.01367,0.01663,0.008264024,25,4,5,22,11,0.12,0.0175,0.27,38,512,120,8,0.553993344,21.47605608,0.57536,1.417727,0.343073,1.059404,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200622-173128
20200629-124844,1,147061,25952,0.04,105,0.02549,0.03593,0.0004,28,2,2,34,20,0.26,0.0212,0.2,29,512,68,30,0.575132191,7.816215719,0.599754,2.09153,0.350978,1.650084,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200629-124844
20200629-193223,1,147061,25952,0.01,121,0.0093,0.03461,0.00015,21,4,2,44,25,0.13,0.0104,0.09,32,512,120,9,0.574002624,9.298131356,0.603793,0.71591,0.24818,0.12748,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200629-193223
20200630-065404,1,147061,25952,0.07,76,0.04534,0.00761,0.00841,20,3,2,26,16,0.16,0.0191,0.14,66,512,88,6,0.579633057,30.64836883,0.605242,4.857315,0.373524,4.438953,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200630-065404
20200630-144044,1,147061,25952,0.13,99,0.01274,0.02249,0.02345,27,3,3,49,35,0.05,0.0059,0.3,59,512,120,19,0.556835651,5.049827637,0.580257,1.79664,0.321213,1.325276,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200630-144044
20200701-004555,1,147061,25952,0.7,90,0.02823,0.02284,0.00721,21,3,4,53,30,0.21,0.0126,0.19,36,512,120,56,0.547656476,3.842810524,0.555935,0.671867,0.584652,0.690518,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200701-004555
20200701-105544,1,147061,25952,0.42,109,0.00857,0.02521,0.0152,17,6,2,30,28,0.34,0.0193,0.09,67,512,120,98,0.566028297,1.610921407,0.580977,1.618632,0.540946,1.528776,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200701-105544
20200701-213312,1,147061,25952,0.18,88,0.0292,0.02912,0.01348,29,4,2,51,8,0.15,0.0157,0.29,45,512,120,34,0.555738807,22.09464271,0.575013,2.405879,0.41509,2.087089,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200701-213312
20200702-071210,1,147061,25952,0.14,73,0.03926,0.012,0.00227,22,3,2,29,26,0.12,0.0145,0.07,45,512,120,8,0.558028519,18.81272959,0.571437,0.710299,0.40223,0.356429,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200702-071210
20200702-192304,0,147061,25952,0.02,7,0.01505,0.04615,0.00476,31,2,2,23,18,0.15,0.019,0.1,45,512,120,70,0.575550854,0.634632866,0.589717,0.617922,0.510005,0.422201,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200702-192304
20200703-042905,0,147061,25952,0,24,0.00545,0.04829,0.00688,28,4,4,35,27,0.4,0.0174,0.1,45,512,120,21,0.584660411,0.999202489,0.629326,0.71867,0.462753,0.349742,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200703-042905
20200703-222018,0,147061,25952,0.39,56,0.0497,0.02133,0.0004,17,5,5,58,47,0.35,0.0282,0.1,45,512,120,39,0.581001282,27.16442406,0.599258,0.858357,0.53882,0.732415,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200703-222018
20200704-180026,1,147061,25952,0.62,33,0.01853,0.03064,0.00607,31,2,3,40,24,0.28,0.0231,0.34,16,512,120,30,0.551616251,1.524383345,0.571738,0.547104,0.60863,0.618975,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200704-180026
20200705-031010,1,147061,25952,0.58,54,0.00651,0.01631,0.00213,31,3,5,63,52,0.23,0.0219,0.13,49,512,120,89,0.550735116,0.861371679,0.572174,0.586152,0.554301,0.553346,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200705-031010
20200705-141816,1,147061,25952,0.31,10,0.00961,0.04213,0.01456,14,4,4,40,11,0.09,0.0236,0.17,58,512,120,80,0.553838968,0.574386583,0.574517,0.567512,0.566275,0.552129,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200705-141816
20200709-190458,1,147061,25952,0.71,124,0.01295,0.00598,0.00534,28,2,5,48,35,0.11,0.02,0.14,25,512,120,41,0.544494689,3.909433818,0.55671,0.555449,0.580546,0.579657,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200709-190458
20200710-054842,1,147061,25952,0.54,109,0.02511,0.02473,0.00407,29,2,3,97,67,0.51,0.0229,0.37,23,512,120,68,0.576955378,6.160214154,0.592336,1.10523,0.558203,1.037364,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200710-054842
20200713-181342,1,147061,25952,0.63,93,0.01227,0.03846,0.00405,26,2,3,40,30,0.18,0.0339,0.24,24,512,120,39,0.540979564,5.790256233,0.560495,0.605259,0.580763,0.636593,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200713-181342
20200714-034648,1,147061,25952,0.19,109,0.02503,0.00671,0.0031,29,2,5,40,35,0.17,0.0211,0.24,38,512,120,28,0.561049521,38.36052518,0.580252,1.66741,0.373128,1.413924,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200714-034648
20200714-141732,1,147061,25952,0.56,119,0.02386,0.02008,0.01498,28,2,2,46,42,0.65,0.0389,0.07,34,512,98,61,0.608728051,6.122333567,0.616034,0.993469,0.665382,1.082597,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200714-141732
20200717-204157,1,147061,25952,0.41,100,0.01494,0.04081,0.01001,12,2,2,32,29,0.27,0.0318,0.12,21,512,120,41,0.566777468,3.989036955,0.578607,0.549255,0.560929,0.513888,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200717-204157
20200718-061815,1,147061,25952,0.32,110,0.03531,0.02586,0.00558,30,2,4,78,39,0.45,0.0253,0.14,18,512,61,20,0.576693475,9.573595961,0.5862,1.05954,0.527878,0.952553,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200718-061815
20200720-113042,1,147061,25952,0.48,8,0.02601,0.03293,0.00402,13,2,3,35,27,0.2,0.0198,0.11,32,512,120,62,0.574818015,0.588525761,0.585216,0.565053,0.62019,0.641134,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200720-113042
20200720-203420,1,147061,25952,0.12,104,0.014,0.02481,0.00537,20,4,5,14,7,0.09,0.0324,0.18,45,512,120,63,0.580683827,5.957338998,0.588828,1.592326,0.344986,1.174611,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200720-203420
20200721-094112,1,147061,25952,0.4,19,0.01135,0.01002,0.00999,28,2,4,24,22,0.31,0.0362,0.13,58,512,120,100,0.559466243,0.669571996,0.601714,0.65155,0.594598,0.65358,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200721-094112
20200725-154810,1,7352,1298,0.04,59,0.00575,0.01758,0.02389,26,5,5,54,40,0.79,0.035,0.53,30,512,120,118,0.722026408,1.528716862,0.758251798,1.546522145,0.605330211,1.218843479,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-154810
20200725-162140,1,7352,1298,0.14,58,0.046,0.00622,0.00953,19,8,2,46,43,0.78,0.0283,0.07,22,512,120,39,0.743501604,2.772023629,0.751438588,0.86579212,0.672645855,0.693904871,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-162140
20200725-165425,1,7352,1298,0.01,47,0.00701,0.02176,0.00619,5,3,3,12,11,0.7,0.0386,0.19,26,512,120,52,0.82194227,1.772030663,0.832958823,1.104272336,0.827033454,1.068614926,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-165425
20200725-172323,1,7352,1298,0.19,90,0.00619,0.01838,0.00547,24,3,3,59,51,0.59,0.0315,0.38,29,512,120,35,0.698421419,4.58415364,0.723907161,1.296054075,0.334952745,0.595515978,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-172323
20200725-175351,1,7352,1298,0.42,122,0.03809,0.04067,0.00298,27,3,5,8,5,0.52,0.0228,0.18,25,512,120,7,0.806732595,79.82102356,0.825438118,1.121493796,0.839906847,1.159457447,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-175351
20200725-182720,1,7352,1298,0.37,35,0.02641,0.03211,0.00042,22,2,3,69,34,0.43,0.0015,0.21,18,512,120,40,0.816237807,1.079564898,0.822223127,1.07972216,0.960181832,1.462649783,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-182720
20200725-185659,1,7352,1298,0.22,73,0.01724,0.01732,0.01876,29,2,3,27,21,0.71,0.0153,0.43,36,512,120,37,0.700407565,2.524619125,0.720228738,1.485630298,0.585978878,1.238194824,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-185659
20200725-192643,1,7352,1298,0.68,105,0.01335,0.00818,0.0024,23,6,2,22,21,0.76,0.0071,0.64,13,512,120,115,0.768633962,1.097135424,0.771437168,1.088494855,0.871265894,1.328276685,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-192643
20200725-195907,1,7352,1298,0.88,68,0.01671,0.00628,0.00875,29,3,4,40,39,0.72,0.0202,0.41,54,512,120,116,0.776049614,2.817501385,0.783820146,2.555080238,0.886690843,2.783791097,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-195907
20200725-202847,1,7352,1298,0.11,101,0.015,0.01716,0.01607,11,2,2,30,21,0.57,0.0213,0.26,29,512,120,43,0.679166794,5.701096438,0.706809598,1.110715467,0.472333771,0.629957455,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-202847
20200725-210131,1,7352,1298,0.59,119,0.01956,0.03939,0.00332,26,2,3,82,22,0.66,0.0203,0.57,31,512,120,83,0.722661436,11.87092031,0.772511566,7.225389969,0.696960968,6.991715262,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-210131
20200725-213459,1,7352,1298,0.28,83,0.0214,0.00616,0.00091,21,8,4,44,15,0.67,0.0194,0.36,51,512,120,34,0.69999963,18.13862695,0.743163699,3.116928615,0.580481219,2.81996379,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-213459
20200725-220529,1,7352,1298,0.84,29,0.02542,0.02028,0.00426,6,3,3,11,10,0.61,0.0138,0.23,11,512,120,22,0.979651034,2.062440815,1.034925687,1.577481447,1.145676506,1.865730904,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-220529
20200725-223434,1,7352,1298,0.39,56,0.00927,0.01831,0.01276,20,2,2,16,8,0.5,0.0338,0.46,48,512,120,38,0.678000927,6.899258828,0.698563433,2.054449791,0.614043599,1.884071666,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-223434
20200725-230347,1,7352,1298,0.11,76,0.02825,0.01185,0.00372,12,3,3,45,8,0.61,0.0113,0.33,53,512,120,47,0.721980512,11.98961302,0.748932946,2.139561623,0.562935567,1.790138169,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-230347
20200725-233316,1,7352,1298,0.71,73,0.0288,0.00969,0.00872,23,2,2,91,20,0.28,0.027,0.07,46,512,120,91,0.660169423,2.347704278,0.669507182,0.899132255,0.612699401,0.724467016,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200725-233316
